farm_id,shade_tree,height,location
abena_a,Avocado ,11.01,Centre
abena_a,Kakapenpen,6.66,N3
abena_a,Yok,9.52,N4
abena_a,Yok,7.76,N4
abena_a,Yok,8.11,N4
abena_a,Yok,14.9,N4
abena_a,Yok,10.91,N4
abena_a,Yok,12.99,N4
abena_a,Akata,13.27,SW1
abena_a,Oil Palm ,2.03,SW2
abena_a,Plantain,1.91,SW2
abena_a,Plantain,3.07,SW2
abena_a,Plantain,3.99,SW2
abena_a,Nyankyerene ,15.51,SW3
abena_a,Nyankyerene ,16.25,SW3
abena_a,Yok,13.55,SW4
abena_a,Ofram,6.71,SW4
abena_a,Plantain,5.05,SW4
abena_a,Plantain,2.77,SW4
abena_a,Papia ,31.91,SE2
abena_a,Onyina,47.49,SE2
abena_a,Cedrela,17.46,SE2
abena_a,Ofram,9.91,SE2
abena_a,Ofram,11.85,SE3
abena_a,Apro,2.44,SE3
abena_a,Yok,6.57,SE3
abena_a,Plantain,1.68,SE4
abena_a,Plantain,1.48,SE4
abena_a,Plantain,3.44,SE4
abena_a,Plantain,3.95,SE4
abena_a,Plantain,1.43,SE4
abena_a,Plantain,2.45,SE4
abena_a,Plantain,2.76,SE4
abena_a,Plantain,2.08,SE4
abena_a,Plantain,2.91,SE4
abena_a,Plantain,1.68,SE4
abena_a,Plantain,2.95,SE4
abena_a,Plantain,3.14,SE4
abena_a,Plantain,3.43,SE4
abena_a,Plantain,4.42,SE4
abena_a,Plantain,2.53,SE4
abena_a,Plantain,4.91,SE4
abena_a,Plantain,3.89,SE4
abena_a,Plantain,3.24,SE4
abena_a,Plantain,2.978,SE4
abena_a,Plantain,2.733,SE4
abena_a,Plantain,2.989,SE4
abena_a,Plantain,3.712,SE4
abena_a,Plantain,2.823,SE4
afia_a,Orange,4.799,N4
afia_a,Orange,5.29,N4
afia_a,Orange,5.98,N4
afia_a,Konkroma,22.404,N4
afia_a,Konkroma,7.34,SW2
afia_a,Konkroma,3.9,SW2
afia_a,Plantain ,1.76,SW3
afia_a,Plantain ,3.62,SW4
afia_a,Plantain ,3.54,SE2
afia_a,Plantain ,3.258,SE2
afia_a,Plantain ,2.6,SE2
afia_a,Plantain ,2.2,SE2
afia_a,Plantain,3.48,SE2
afia_a,Kuakuanisno,13.78,SE4
ama_a,Susumasa ,7.13,Centre
ama_a,Susumasa ,9.24,Centre
ama_a,Emire,10.25,N1
ama_a,Konkroma,15.43,SW1
ama_a,Oil Palm,7.46,SW2
ama_a,Oil Palm,10.46,SW4
ama_a,Oil Palm,4.18,SE1
ama_a,Oil Palm,4.72,SE1
ama_a,Oil Palm,4.28,SE1
ama_a,Oil Palm,5.18,SE1
ama_a,Oil Palm,5.7,SE1
ama_a,Konkroma,7.91,SE3
ama_a,Ofram,7,SE3
ama_a,Susumasa,7.42,SE4
amma_s,Plantain,1.17,N1
amma_s,Plantain,0.84,N1
amma_s,Plantain,0.5,N1
amma_s,Plantain,0.93,N1
amma_s,Plantain,1.49,N1
amma_s,Plantain,1.824,N1
amma_s,Plantain,4,N2
amma_s,Banana,5.6,N3
amma_s,Banana,6.906,N3
amma_s,Banana,9.6,N3
amma_s,Banana,3.06,N3
amma_s,Banana,5.419,N3
amma_s,Banana,3.38,N3
amma_s,Banana,4,N3
amma_s,Banana,3.152,N3
amma_s,Kola,6.62,N4
amma_s,Plantain,1.94,N4
amma_s,Ofram,6.07,SW1
amma_s,Plantain,2.97,SW2
amma_s,Plantain,3.1,SW2
amma_s,Plantain,1.51,SW2
amma_s,Plantain,2.52,SW4
amma_s,Plantain,3.93,SW4
amma_s,Plantain,2.58,SW4
amma_s,Papaya,2.08,SW4
amma_s,Odum,2.82,SW4
amma_s,Banana,4.35,SE1
amma_s,Banana,1.72,SE1
amma_s,Susumasa,24.38,SE2
amma_s,Oil Palm ,6.04,SE3
amma_s,Plantain,2.45,SE3
amma_s,Esse,3.07,SE4
amma_s,Susumasa,21.52,SE4
amma_s,Odum,24.07,SE4
amma_s,Konkroma,14.96,SE4
anthony_a,Susumasa ,10.46,N3
anthony_a,Susumasa ,10.05,N4
anthony_a,Konkroma,17.93,SW1
anthony_a,Susumasa ,12.56,SE1
anthony_a,Susumasa ,14.57,SE4
asepati_k,Konkroma,13.57,Centre
asepati_k,Plantain,4.46,N1
asepati_k,Konkroma,15.81,N2
asepati_k,Konkroma,16.38,N3
asepati_k,Edinam,17.55,N4
asepati_k,Tamatama,29.76,N4
asepati_k,Konkroma,18.53,SW2
asepati_k,Ofram,16.77,SW3
asepati_k,Odum,14.3,SW3
asepati_k,Ofram,14.18,SW4
asepati_k,Emire,39.49,SW4
asepati_k,Ofram,11.63,SE2
asepati_k,Konkroma,14.62,SE3
asepati_k,Ofram,6.95,SE3
asepati_k,Susumasa,12.46,SE3
asepati_k,Ofram,12.14,SE4
asepati_k,Ofram,12.47,SE4
asepati_k,Ofram,14.16,SE4
asepati_k,Ofram,15.95,SE4
asepati_k,Ofram,6.74,SE4
asepati_k,Ofram,16.01,SE4
asepati_k,Ofram,10.95,SE4
asepati_k,Ofram,8.65,SE4
augustina_b,Papaya,4.09,N3
augustina_b,Papaya,4.05,N3
augustina_b,Konkroma,23.32,N4
augustina_b,Papaya,2.59,SW1
augustina_b,Papaya,4.01,SW1
augustina_b,Papaya,1.26,SW1
augustina_b,Papaya,1.54,SE3
bashiru_l,Susumasa ,18,centre
bashiru_l,Plantain,3.53,n1
bashiru_l,Ofram,15.51,n3
bashiru_l,Susumasa ,13.89,n4
bashiru_l,Plantain,4,SW1
bashiru_l,Plantain,4.36,sw4
bashiru_l,Plantain,2.9,SE1
bashiru_l,Susumasa ,12.44,se2
charles_f,Papia,12.88,N1
charles_f,Orange,7.153,N2
charles_f,Kyenkyen,21.26,N2
charles_f,Konkroma,11.152,N2
charles_f,Ofram,15.149,N3
charles_f,Konkroma,18.213,N3
charles_f,Konkroma,14.822,N3
charles_f,Konkroma,10.604,N4
charles_f,Konkroma,12.386,N4
charles_f,Plantain,3.263,N4
charles_f,Kyenkyen,18.952,N4
charles_f,Ofram,16.952,N4
charles_f,Konkroma,12.615,N4
charles_f,Sese,12.07,SW1
charles_f,Konkroma,13.096,SW1
charles_f,Konkroma,17.236,SW1
charles_f,Akyee,14.344,SW1
charles_f,Avocado,10.45,SW1
charles_f,Odum,5.331,SW2
charles_f,Plantain,1.86,SW2
charles_f,Emire,25.64,SW3
charles_f,Konkroma,16.49,SW4
charles_f,Nyamedua,29.82,SW4
charles_f,Konkroma,18.92,SE1
charles_f,Konkroma,18.92,SE2
charles_f,Okoro,16.44,SE2
charles_f,Okoro,13.56,SE3
charles_f,Susumasa,15.81,SE4
daniel_a,Emire,18.898,Centre
daniel_a,Konkroma,15.26,Centre
daniel_a,Plantain,4.24,Centre
daniel_a,Apro,12.63,N1
daniel_a,Plantain,2.03,N1
daniel_a,Plantain,3.64,N1
daniel_a,Kyenkyen,23.14,N2
daniel_a,Plantain,5.6,SW1
daniel_a,Konkroma,15.26,SW1
daniel_a,Ofram,10.24,SW2
daniel_a,Konkroma,10.75,SW3
daniel_a,Ofram,16.31,SE2
daniel_a,Papia,25.24,SE3
deborah_a,Konkroma,15.49,N1
deborah_a,Konkroma,13.41,N1
deborah_a,Konkroma,18.63,N2
deborah_a,Susumasa ,15.58,N2
deborah_a,Konkroma,19.07,N3
deborah_a,Konkroma,13.39,N4
