farm_id,shade_cover,mean_height_transect,vertical_complexity,shannon_diversity_tree,tree_density_per_hectare,FMQCF_40_44_V,FM_20_40_V,QCF_20_29_M,QCF_30_40_M,QCF_20_29_E,CF_FM_61_70_H,FM_25_50_N,FM_40_45_VM,FM_CF_61_70_R,QCF_10_19_MO,QCF_30_40_E,CF_FM_45_60_H,QCF_FM_20_30_M,FMQCF_60_69_V,FM_45_60_V,QFM_25_35_R,CF_FM_110_130_H,FM_51_75_N,CF_FM_90_110_H,FM_60_90_V,FMQCF_50_59_V,CF_FM_130_140_H
abena_a,20.4789235,16.30933,0.2157,2.029395602,155.5555556,1,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afia_a ,1.10144577,18.092,0.175,1.004242473,51.85185185,0,30,4,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ama_a,1.62505574,11.345,0.2119,1.33166431,103.7037037,0,3,177,35,6,2,1,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0
amma_s,7.40550407,21.2325,0.1959,2.025326221,74.07407407,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
anthony_a,2.2839554,13.114,0.1778,0.500402424,37.03703704,0,2,42,20,15,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0
asepati_k,19.6002565,16.269,0.231,1.369857482,162.962963,0,1,9,48,1,0,0,0,0,2,0,2,19,0,0,0,0,0,0,0,0,0
augustina_b,5.07698047,23.32,0.186,0.410116318,51.85185185,0,13,51,10,4,0,2,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0
bashiru_l,6.19882669,14.96,0.223,0.562335145,29.62962963,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
charles_f,17.8773046,16.15754,0.2163,2.083645342,192.5925926,2,8,31,17,12,0,0,0,0,16,2,41,0,0,0,0,2,0,0,0,0,0
daniel_a,10.7384693,16.41422,0.196,1.676987774,66.66666667,1,0,2,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
deborah_a,24.865379,15.21227,0.2049,1.342041951,200,1,13,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
elisabeth_k,18.4579103,20.26571,0.2441,2.110572676,162.962963,1,4,3,11,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
